City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
geraldton,-28.7667,114.6,66.13,82,90,9.22,AU,1627438766
pisco,-13.7,-76.2167,62.65,82,0,14.97,PE,1627438766
bonavista,48.6499,-53.1147,65.12,98,100,17.45,CA,1627438766
goma,-1.6792,29.2228,61.65,72,34,1.88,CD,1627438767
ulaangom,49.9811,92.0667,69.58,52,0,7.61,MN,1627438767
muravlenko,63.7898,74.523,54.07,85,75,10.54,RU,1627438767
gandai,21.6667,81.1,75.6,88,100,9.44,IN,1627438767
omsukchan,62.5333,155.8,45.84,67,100,8.41,RU,1627438768
thunder bay,48.4001,-89.3168,72.99,71,75,3.44,CA,1627438768
suntar,62.1444,117.6319,81.41,42,7,5.23,RU,1627438768
utiroa,,,,,,,,
lock haven,41.137,-77.4469,76.15,77,61,4.43,US,1627438769
salalah,17.0151,54.0924,77.09,100,90,9.22,OM,1627438769
chicama,-7.8447,-79.1469,67.19,85,80,6.29,PE,1627438769
leh,34.1667,77.5833,64.6,53,99,2.01,IN,1627438770
grants pass,42.439,-123.3284,80.44,61,75,1.01,US,1627438770
manali,13.1667,80.2667,86.09,60,100,14,IN,1627438770
fomboni,-12.28,43.7425,76.35,67,2,16.55,KM,1627438771
chapleau,47.8405,-83.4034,56.84,67,11,4.72,CA,1627438771
wuda,39.4994,106.7117,78.44,41,6,7.56,CN,1627438771
nuuk,64.1835,-51.7216,50.61,62,17,13.8,GL,1627438771
martyush,56.4,61.8819,49.96,71,5,10.02,RU,1627438772
kodiak,57.79,-152.4072,62.11,55,90,4.61,US,1627438772
fortuna,40.5982,-124.1573,75.42,84,100,4.74,US,1627438772
saint george,37.1041,-113.5841,93.63,28,1,3,US,1627438772
salme,28.0369,85.0942,66.49,84,99,1.39,NP,1627438773
conceicao do araguaia,-8.2578,-49.2647,72.21,43,0,2.51,BR,1627438773
caracuaro,19.0106,-101.1264,75.7,80,84,1.39,MX,1627438773
soyo,-6.1349,12.3689,72.79,88,98,8.61,AO,1627438774
itoman,26.1247,127.6694,88.18,82,40,13.8,JP,1627438774
pathein,16.7833,94.7333,83.03,85,100,13.33,MM,1627438774
shubarshi,48.5872,57.1869,69.28,37,100,13.87,KZ,1627438774
samarai,-10.6167,150.6667,78.96,87,88,15.73,PG,1627438775
kuchinarai,16.541,104.05,85.71,78,100,11.48,TH,1627438775
iqaluit,63.7506,-68.5145,49.69,61,40,10,CA,1627438775
hvolsvollur,63.7533,-20.2243,48.81,89,55,4.85,IS,1627438776
leningradskiy,69.3833,178.4167,33.8,98,100,10.11,RU,1627438776
port elizabeth,-33.918,25.5701,55.09,81,37,15.86,ZA,1627438485
burica,,,,,,,,
przeworsk,50.0591,22.4941,64.44,88,31,4.81,PL,1627438512
wajima,37.4,136.9,83.08,69,75,5.75,JP,1627438777
muisne,0.6,-80.0333,75.58,85,100,6.24,EC,1627438777
goranboy,40.6103,46.7897,75.49,77,31,9.15,AZ,1627438777
algeciras,36.1333,-5.4505,74.97,100,90,6.91,ES,1627438723
kyzyl-suu,42.3414,78.0056,71.47,53,42,1.3,KG,1627438778
casper,42.8666,-106.3131,91.99,13,1,5.99,US,1627438778
el limon,10.3059,-67.6321,71.53,92,71,3.09,VE,1627438779
miandrivazo,-19.5167,45.4667,61.88,41,0,4.23,MG,1627438779
berbera,10.4396,45.0143,86.88,45,100,25.77,SO,1627438779
upernavik,72.7868,-56.1549,50.25,72,97,10.42,GL,1627438779
aswan,24.0934,32.907,86.32,28,100,9.42,EG,1627438695
tautira,-17.7333,-149.15,80.62,70,77,9.26,PF,1627438780
planaltina,-15.4528,-47.6142,64.69,41,7,1.12,BR,1627438780
souillac,-20.5167,57.5167,68.36,94,75,16.11,MU,1627438780
taoudenni,22.6783,-3.9836,98.82,10,66,8.41,ML,1627438781
korla,41.7597,86.1469,91.45,15,6,11.95,CN,1627438781
urulga,,,,,,,,
labuan,5.2767,115.2417,88.16,74,20,4.61,MY,1627438782
barguzin,53.6167,109.6167,74.43,49,32,2.57,RU,1627438782
adrar,20.5022,-10.0711,86.41,32,100,11.74,MR,1627438782
krasnorechenskiy,44.6265,135.3532,86.5,41,95,3.8,RU,1627438782
noumea,-22.2763,166.4572,78.78,99,20,13.94,NC,1627438541
qui nhon,13.7667,109.2333,87.89,61,100,16.17,VN,1627438627
senneterre,48.3835,-77.2328,57.42,75,11,3.36,CA,1627438783
vanimo,-2.6741,141.3028,86.25,67,20,5.91,PG,1627438783
karlstad,59.3793,13.5036,63.16,100,75,6.91,SE,1627438784
tiksi,71.6872,128.8694,41.54,80,21,14.18,RU,1627438726
roald,62.5833,6.1333,66.25,94,75,3.44,NO,1627438784
filadelfia,39.9523,-75.1638,81.01,66,20,4.61,US,1627438503
am timan,11.0297,20.2827,70.57,97,100,5.12,TD,1627438785
bambous virieux,-20.3428,57.7575,68.22,94,75,16.11,MU,1627438785
isangel,-19.55,169.2667,74.88,56,2,14.79,VU,1627438785
nanyang,32.9947,112.5328,82.89,66,87,12.55,CN,1627438786
lompoc,34.6391,-120.4579,75.56,80,90,12.66,US,1627438786
narsaq,60.9167,-46.05,46.62,73,99,3.18,GL,1627438640
tripoli,32.8752,13.1875,76.21,71,0,13.22,LY,1627438787
sitka,57.0531,-135.33,60.69,77,75,4.61,US,1627438787
kirakira,-10.4544,161.9205,85.17,67,64,12.3,SB,1627438787
eureka,40.8021,-124.1637,75.67,86,100,4.43,US,1627438787
agirish,61.9247,63.0231,46.08,75,62,9.57,RU,1627438788
bereda,43.2686,-7.5406,61.92,100,90,3.94,ES,1627438788
bosobolo,4.1833,19.9,71.22,88,100,1.88,CD,1627438533
bolungarvik,,,,,,,,
cherskiy,68.75,161.3,38.97,73,100,19.6,RU,1627438789
hoa binh,20.8133,105.3383,87.69,65,73,2.89,VN,1627438789
aguimes,27.9054,-15.4461,68.67,68,75,20.71,ES,1627438789
tamworth,52.634,-1.6959,60.62,91,97,3,GB,1627438790
baherden,38.4362,57.4316,85.62,21,0,4.65,TM,1627438790
baherove,45.3742,36.2971,69.1,65,0,8.75,UA,1627438790
eugene,44.0521,-123.0867,87.19,39,100,1.01,US,1627438790
pacifica,37.6138,-122.4869,90.91,79,20,3,US,1627438791
sur,22.5667,59.5289,97.36,39,100,24.76,OM,1627438791
union,40.6334,-74.2663,80.91,60,40,10.36,US,1627438698
ostrovnoy,68.0531,39.5131,52.36,80,100,4.63,RU,1627438792
beyneu,45.3167,55.2,77.22,22,100,11.21,KZ,1627438792
atambua,-9.1061,124.8925,84.06,44,79,2.35,ID,1627438546
afua,-0.1567,-50.3867,75,91,21,5.28,BR,1627438792
katsuura,35.1333,140.3,86.04,77,100,19.69,JP,1627438793
ivybridge,50.3904,-3.9191,61.5,91,28,11.32,GB,1627438793
piacabucu,-10.4056,-36.4344,73.06,88,0,5.3,BR,1627438793
eirunepe,-6.6603,-69.8736,77.54,73,96,0.94,BR,1627438794
daru,-9.0763,143.2092,77.05,91,99,12.55,PG,1627438794
san cristobal,7.7669,-72.225,73.58,96,45,1.72,VE,1627438794
lolua,,,,,,,,
catamarca,-28.4696,-65.7852,51.78,46,81,2.1,AR,1627438759
tatvan,38.5067,42.2817,61.66,57,0,3.83,TR,1627438795
cockburn harbour,,,,,,,,
komsomolskiy,40.4272,71.7189,83.12,34,2,2.3,UZ,1627438796
sobolevo,54.4299,31.8996,62.71,96,100,6.89,RU,1627438796
gusau,12.1628,6.6614,69.19,94,63,6.17,NG,1627438796
krasnoselkup,65.7,82.4667,51.04,77,99,7.27,RU,1627438796
amapa,1,-52,70.99,98,6,2.55,BR,1627438797
sola,-13.8833,167.55,79.43,79,37,22.7,VU,1627438797
vanavara,60.34,102.2797,82.96,37,0,1.68,RU,1627438797
mogadishu,2.0371,45.3438,76.51,82,89,20.49,SO,1627438798
teknaf,20.8624,92.3058,80.98,88,100,13.85,BD,1627438798
santa isabel do rio negro,-0.4139,-65.0192,74.17,93,96,2.84,BR,1627438798
severo-kurilsk,50.6789,156.125,58.84,91,100,7.14,RU,1627438798
miyako,39.6367,141.9525,72.27,95,100,20.18,JP,1627438799
hambantota,6.1241,81.1185,81.73,77,100,17.54,LK,1627438799
ormara,25.2088,64.6357,82.18,87,100,14.61,PK,1627438799
gasa,31.5,34.4667,78.78,74,0,3.06,PS,1627438658
jalu,29.0331,21.5482,79.84,42,0,5.66,LY,1627438800
mayo,38.8876,-76.5119,82.13,86,1,0,US,1627438800
hobyo,5.3505,48.5268,76.37,77,100,19.66,SO,1627438800
ilhabela,-23.7781,-45.3581,68.31,90,79,11.05,BR,1627438546
kailua,21.4022,-157.7394,84.18,68,75,13.8,US,1627438801
shipunovo,52.1582,82.2173,61.47,53,36,2.82,RU,1627438801
yazykovo,55.2199,56.1353,49.35,86,15,6.51,RU,1627438802
rosetta,31.4044,30.4164,78.55,76,0,10.54,EG,1627438802
erzin,36.9559,36.2,83.12,71,0,4.83,TR,1627438802
astana,51.1801,71.446,57.15,54,0,4.47,KZ,1627438607
jiroft,,,,,,,,
tilichiki,60.4667,166.1,61.61,49,85,15.7,RU,1627438722
balikpapan,-1.2675,116.8289,83.39,79,40,6.91,ID,1627438802
tuatapere,-46.1333,167.6833,51.82,62,33,0.56,NZ,1627438803
fairbanks,64.8378,-147.7164,62.94,87,90,4.61,US,1627438736
greymouth,-42.4667,171.2,53.15,85,100,4.03,NZ,1627438804
la libertad,-2.2333,-80.9,70.79,85,96,8.99,EC,1627438804
vila,42.0304,-8.1588,54.34,83,3,5.23,PT,1627438805
pamanukan,-6.2842,107.8106,82.72,54,57,3.27,ID,1627438805
pszczyna,49.9804,18.9538,69.26,79,10,2.95,PL,1627438550
nargana,9.4428,-78.5906,81.16,80,97,4.94,PA,1627438805
beringovskiy,63.05,179.3167,48.72,87,100,14.18,RU,1627438806
porto,41.1496,-8.611,64.29,89,0,3,PT,1627438530
laishevo,55.4046,49.5504,57.42,73,0,5.03,RU,1627438682
kristiansund,63.1115,7.732,68.65,64,40,6.91,NO,1627438806
melekhovo,56.2773,41.2935,57.78,88,6,1.86,RU,1627438807
grand forks,47.9417,-97.4337,82.13,42,75,5.75,US,1627438807
soltsy,58.1239,30.3238,63.3,88,100,3.96,RU,1627438807
hualmay,-11.0964,-77.6139,63.91,86,43,11.59,PE,1627438757
pacific grove,36.6177,-121.9166,82.98,83,20,1.99,US,1627438808
marsh harbour,26.5412,-77.0636,83.68,74,50,7.16,BS,1627438808
alytus,54.4,24.05,62.51,95,14,4.21,LT,1627438808
nome,64.5011,-165.4064,50.16,93,90,12.66,US,1627438809
patos de minas,-18.5789,-46.5181,62.28,42,3,2.55,BR,1627438809
evensk,61.95,159.2333,61.66,46,80,15.55,RU,1627438809
sheridan,44.8333,-106.9173,95.18,18,1,3,US,1627438809
phan rang,,,,,,,,
nanga eboko,4.6833,12.3667,66.27,96,100,3.76,CM,1627438810
deputatskiy,69.3,139.9,39.69,82,100,4.47,RU,1627438810
la ronge,55.1001,-105.2842,64.65,68,75,10.36,CA,1627438811
oga,46.4631,10.347,54.14,94,55,4.21,IT,1627438811
lucapa,-8.4192,20.7447,57.88,34,84,3.13,AO,1627438811
keetmanshoop,-26.5833,18.1333,58.12,33,0,1.14,NA,1627438747
xichang,27.8964,102.2634,67.91,95,100,1.48,CN,1627438812
wum,6.3833,10.0667,62.06,97,100,3.22,CM,1627438812
pochutla,15.7432,-96.4661,79.83,90,96,2.77,MX,1627438812
stepnyak,52.8339,70.7803,59.67,54,100,11.63,KZ,1627438813
bathsheba,13.2167,-59.5167,81.21,78,40,16.11,BB,1627438813
maragogi,-9.0122,-35.2225,73.36,89,4,6.42,BR,1627438813
coihaique,-45.5752,-72.0662,33.75,86,0,2.3,CL,1627438813
mandalgovi,45.7625,106.2708,70.81,50,34,6.58,MN,1627438814
ebebiyin,2.1511,11.3353,64.42,99,80,3.85,GQ,1627438814
brownsville,25.9018,-97.4975,84.9,77,1,1.01,US,1627438814
ilulissat,69.2167,-51.1,53.62,62,100,4.61,GL,1627438615
kanniyakumari,8.0833,77.5667,79.41,81,100,18.66,IN,1627438815
tornio,65.8481,24.1466,50.02,78,43,3.18,FI,1627438815
kyren,51.6828,102.1408,70.95,71,30,2.68,RU,1627438815
klaksvik,62.2266,-6.589,50.92,96,99,4.54,FO,1627438816
bahia honda,22.9036,-83.1592,80.46,79,77,7.47,CU,1627438816
presidencia roque saenz pena,-26.7852,-60.4388,43.07,28,0,3.58,AR,1627438816
tanout,14.9709,8.8879,81.41,63,97,14.92,NE,1627438816
san juan,-31.5375,-68.5364,46.99,42,0,6.08,AR,1627438817
colares,38.7992,-9.4469,66.43,77,0,5.01,PT,1627438817
bonito,-21.1211,-56.4819,55.99,35,90,9.6,BR,1627438817
at-bashi,41.1702,75.8106,69.91,51,79,1.79,KG,1627438818
flin flon,54.7682,-101.865,69.62,60,1,4.21,CA,1627438818
tambacounda,13.7539,-13.7586,80.04,82,100,10.51,SN,1627438818
puerto colombia,10.9878,-74.9547,77.09,87,100,5.77,CO,1627438818
catalina,32.5056,-110.9211,79.57,71,100,1.01,US,1627438819
armacao dos buzios,,,,,,,,
sambava,-14.2667,50.1667,65.91,85,5,10.65,MG,1627438819
luis correia,-2.8792,-41.6669,78.96,80,46,10.63,BR,1627438820
laredo,27.5064,-99.5075,91.85,43,1,11.5,US,1627438820
ndioum,16.5129,-14.6471,79.02,66,46,16.42,SN,1627438820
kasongo-lunda,-6.4667,16.8167,61.41,29,10,1.57,CD,1627438821
kargopol,61.5071,38.9456,48.42,78,10,3.04,RU,1627438821
kingaroy,-26.5333,151.8333,68.04,45,0,12.06,AU,1627438821
nelson bay,-32.7167,152.15,75,49,100,5.88,AU,1627438821
dwarka,22.2394,68.9678,82.47,84,100,25.84,IN,1627438822
san jose,37.3394,-121.895,89.71,44,20,5.01,US,1627438822
bonthe,7.5264,-12.505,76.62,85,100,10.38,SL,1627438822
rawson,-43.3002,-65.1023,41.76,68,24,13.15,AR,1627438822
maniitsoq,65.4167,-52.9,49.26,78,22,15.23,GL,1627438823
pontianak,-0.0333,109.3333,78.78,94,75,4.61,ID,1627438816
srednekolymsk,67.45,153.6833,37.49,97,100,9.33,RU,1627438803
luderitz,-26.6481,15.1594,54.57,73,0,8.81,NA,1627438747
stokmarknes,68.5646,14.9108,59.38,92,22,4.68,NO,1627438824
kieta,-6.2167,155.6333,84.13,69,98,3.87,PG,1627438824
angoche,-16.2325,39.9086,66.69,83,23,5.79,MZ,1627438746
ratangarh,28.0833,74.6,82.11,77,100,15.55,IN,1627438825
bubaque,11.2833,-15.8333,80.33,81,100,10.33,GW,1627438825
olafsvik,64.8945,-23.7142,51.22,87,100,14.23,IS,1627438825
pakxan,18.3778,103.6601,80.92,84,100,1.68,LA,1627438825
mae chan,20.1467,99.8526,78.78,91,99,1.45,TH,1627438826
chemax,20.65,-87.9333,79.45,75,60,5.39,MX,1627438826
ternate,0.8,127.4,84.4,71,26,6.11,ID,1627438826
hirara,24.8,125.2833,85.86,89,75,9.22,JP,1627438827
nayoro,44.3506,142.4578,91.62,41,2,1.63,JP,1627438618
mae sai,20.4335,99.8762,78.44,85,94,1.43,TH,1627438737
havre-saint-pierre,50.2334,-63.5986,55.76,100,40,5.75,CA,1627438827
zapolyarnyy,69.4154,30.8136,45.68,92,76,9.89,RU,1627438828
edd,13.9297,41.6925,89.62,65,25,0.89,ER,1627438828
margate,51.3813,1.3862,64.04,87,99,3,GB,1627438828
darhan,49.4867,105.9228,70.32,62,52,1.34,MN,1627438829
grand gaube,-20.0064,57.6608,68.38,91,100,5.99,MU,1627438829
tres arroyos,-38.3739,-60.2798,41.4,84,98,14.61,AR,1627438661
akdagmadeni,39.6603,35.8836,54.54,93,38,5.61,TR,1627438829
palabuhanratu,,,,,,,,
zachagansk,,,,,,,,
kalas,18.1667,74.8,74.68,75,98,10.92,IN,1627438833
mackenzie,55.2999,-123.1698,68.22,37,90,8.05,CA,1627438833
khani,41.9563,42.9566,60.37,94,98,2.26,GE,1627438833
bestobe,52.4994,73.0975,62.28,53,53,8.28,KZ,1627438834
port antonio,18.18,-76.4612,84.11,80,100,4.12,JM,1627438834
umba,66.6871,34.3429,54.03,97,100,8.37,RU,1627438834
cintalapa,16.6951,-93.7272,70.52,98,88,3.96,MX,1627438834
viligili,,,,,,,,
cam pha,,,,,,,,
lac du bonnet,50.2536,-96.0612,79.59,46,0,7.14,CA,1627438835
kamenskoye,,,,,,,,
kitimat,54.0524,-128.6534,70.18,64,100,3.15,CA,1627438836
karaul,,,,,,,,
tual,-5.6667,132.75,80.74,82,99,15.57,ID,1627438836
meulaboh,4.1363,96.1285,79.72,83,54,2.71,ID,1627438836
kaduqli,11.0167,29.7167,70.63,96,90,4.9,SD,1627438641
beipiao,41.7919,120.7792,82.65,59,97,2.48,CN,1627438837
chichawatni,30.5333,72.7,87.75,63,100,11.99,PK,1627438837
isla mujeres,21.2311,-86.731,84.16,80,16,10.89,MX,1627438838
yablochnyy,47.1661,142.0661,85.95,65,31,6.46,RU,1627438838
tarko-sale,64.9225,77.785,55.49,70,100,13.71,RU,1627438838
nouadhibou,20.931,-17.0347,69.78,83,22,17.27,MR,1627438839
ewa beach,21.3156,-158.0072,84.15,59,75,19.57,US,1627438839
ananindeua,-1.3656,-48.3722,78.71,83,0,3.44,BR,1627438606
yar-sale,66.8333,70.8333,50.02,65,100,11.61,RU,1627438839
chokwe,-24.5333,32.9833,56.32,83,0,4.72,MZ,1627438840
liverpool,53.4106,-2.9779,61.29,77,75,5.99,GB,1627438840
praxedis guerrero,31.3667,-106.0167,95.56,20,37,1.3,MX,1627438840
gurskoye,,,,,,,,
doctor pedro p. pena,,,,,,,,
floro,61.5996,5.0328,65.23,94,90,0,NO,1627438841
yarada,17.65,83.2667,84.52,79,75,11.5,IN,1627438841
barahona,18.2085,-71.1008,79.93,81,27,4.59,DO,1627438842
ardakan,32.31,54.0175,82.78,15,0,8.63,IR,1627438794
gornopravdinsk,60.05,69.9,50.67,84,6,5.68,RU,1627438842
brasilia,-15.7797,-47.9297,63.52,55,0,3.44,BR,1627438589
lake city,30.1897,-82.6393,77.79,94,1,0,US,1627438843
matara,5.9485,80.5353,79.79,88,93,11.07,LK,1627438843
galle,6.0367,80.217,80.53,87,98,12.68,LK,1627438608
lingao,19.9103,109.6859,89.47,63,100,14.32,CN,1627438843
batagay-alyta,67.8006,130.4114,52.43,50,32,15.7,RU,1627438844
chingola,-12.529,27.8838,47.52,58,93,4.76,ZM,1627438844
maralal,1.0968,36.698,55.49,82,97,2.1,KE,1627438844
russell,32.3502,-85.1999,75.79,88,20,0,US,1627438845
uzumlu,,,,,,,,
toliary,,,,,,,,
raga,8.4596,25.678,68.99,97,100,4.29,SS,1627438845
padang,-0.9492,100.3543,81.77,78,88,1.45,ID,1627438846
fort saint john,,,,,,,,
ziebice,50.6012,17.0406,67.57,82,57,2.1,PL,1627438846
oudtshoorn,-33.5907,22.2014,52.16,87,65,2.89,ZA,1627438847
talnakh,69.4865,88.3972,62.55,85,94,3.67,RU,1627438847
alice springs,-23.7,133.8833,74.21,21,90,11.99,AU,1627438580
labuhan,-6.8844,112.2051,82,65,5,5.73,ID,1627438847
sehithwa,-20.4667,22.7167,45.77,64,0,5.95,BW,1627438848
gilleleje,56.122,12.3106,64.85,73,100,8.9,DK,1627438848
newtownards,54.5924,-5.6909,55.35,92,75,1.01,GB,1627438685
skibotn,69.3913,20.2679,49.46,91,45,2.73,NO,1627438849
oistins,13.0667,-59.5333,80.69,78,40,16.11,BB,1627438849
kachiry,53.0675,76.1036,63.05,48,45,5.1,KZ,1627438849
sorong,-0.8833,131.25,86.22,64,100,5.66,ID,1627438716
egvekinot,66.3167,-179.1667,39.94,90,100,10.98,RU,1627438850
ahipara,-35.1667,173.1667,60.17,78,72,8.41,NZ,1627438850
ewo,-0.8725,14.8206,76.01,58,43,4.5,CG,1627438850
yuncheng,35.0231,110.9928,77.47,78,100,1.83,CN,1627438850
gushikawa,26.3544,127.8686,87.39,77,75,12.66,JP,1627438851
nola,40.922,14.5329,80.58,33,23,1.9,IT,1627438805
rocha,-34.4833,-54.3333,45.68,79,99,18.01,UY,1627438851
qaqortoq,60.7167,-46.0333,46.9,77,100,1.61,GL,1627438852
qingquan,30.4511,115.2559,77.86,89,100,15.77,CN,1627438852
ust-kulom,61.6864,53.6902,44.08,94,89,7.65,RU,1627438852
ayolas,-27.4,-56.9,41.99,49,0,2.82,PY,1627438852
namatanai,-3.6667,152.4333,85.57,65,16,4.29,PG,1627438853
pokhara,28.2333,83.9833,76.64,84,98,1.88,NP,1627438853
tocopilla,-22.092,-70.1979,60.13,67,40,7.92,CL,1627438825
chadan,51.2833,91.5833,61.14,84,92,1.12,RU,1627438854
toamasina,-18.1667,49.3833,62.6,88,40,6.91,MG,1627438854
barentu,15.1139,37.5928,68.83,89,100,5.35,ER,1627438854
bambanglipuro,-7.95,110.2833,80.76,69,48,9.31,ID,1627438854
chontalpa,17.7,-93.5167,77.61,88,100,5.44,MX,1627438855
